project_id,borough,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,total_units
50104,Bronx,0,0,79,0,0,1,80
58197,Brooklyn,0,0,0,0,1,0,1
53572,Queens,0,0,1,0,0,0,1
53588,Brooklyn,0,0,1,0,0,0,1
53590,Queens,0,0,1,0,0,0,1
58196,Brooklyn,0,0,0,0,1,0,1
53064,Queens,0,0,2,0,0,0,2
53579,Brooklyn,0,0,1,0,0,0,1
58195,Queens,0,0,0,0,1,0,1
58194,Brooklyn,0,0,0,0,1,0,1
53194,Bronx,0,0,2,0,0,0,2
55511,Queens,0,0,0,0,343,0,343
48638,Manhattan,39,0,14,0,0,0,53
48638,Manhattan,0,0,56,0,0,0,56
53569,Brooklyn,0,0,1,0,0,0,1
58192,Bronx,0,0,0,0,1,0,1
53578,Staten Island,0,0,1,0,0,0,1
58177,Brooklyn,0,0,0,0,1,0,1
