type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.75114906,-73.9349427403,Queens,01/10/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7514981299,-73.9341573899,Queens,01/09/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7519504418,-73.933379632,Queens,01/09/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.819549,-73.944183,New York,05/02/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7610889998,-73.9233410004,Queens,10/13/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.75972324,-73.9207631705,Queens,01/12/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.758221000300004,-73.9172299999,Queens,01/09/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7567243102,-73.9143831,Queens,01/10/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.73933161,-73.8781299298,Queens,09/07/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7407371396,-73.8793601805,Queens,09/07/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7409367455,-73.87992484850001,Queens,09/07/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7430237599,-73.88292329949999,Queens,08/24/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7435632229,-73.88378879060001,Queens,08/31/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7457609198,-73.8894507503,Queens,10/04/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7460455796,-73.89012128979999,Queens,09/05/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.756944689899996,-73.9716140006,New York,10/20/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7853500997,-73.9731374106,New York,05/01/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.809668192800004,-73.9226228349,Bronx,04/19/2018 12:00:00 AM +0000,2,Bronx
Free,Harlem,40.8041690004,-73.9521330002,New York,09/09/9999 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8077559301,-73.9190061102,Bronx,05/21/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8063848521,-73.91624535,Bronx,07/11/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8144708151,-73.91295433229999,Bronx,06/25/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8062866423,-73.9179551832,Bronx,07/02/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.814394179699995,-73.9151806494,Bronx,05/31/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8128409098,-73.9160743496,Bronx,05/31/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8071077797,-73.9183430105,Bronx,07/11/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8121265904,-73.9205525,Bronx,04/19/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8193941504,-73.91616313,Bronx,05/02/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.822111981999996,-73.9148490775,Bronx,04/25/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8220221947,-73.9119525439,Bronx,04/19/2018 12:00:00 AM +0000,2,Bronx
Free,LinkNYC - Citybridge,40.8222148602,-73.94223468050001,New York,10/19/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8204061702,-73.9403039701,New York,10/03/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7935699996,-73.9430640004,New York,02/22/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7984879998,-73.9415419998,New York,11/03/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7986462699,-73.9414215295,New York,06/21/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8113250002,-73.95205300020001,New York,12/20/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.851620179899996,-73.9321865196,New York,02/20/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.6607317999,-73.9507266396,Brooklyn,03/07/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.657739649899995,-73.9504069702,Brooklyn,03/07/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6872103399,-73.9817193997,Brooklyn,11/21/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.7087798504,-73.9591825697,Brooklyn,01/31/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6782680804,-73.94979844939999,Brooklyn,03/01/2017 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.6553200002,-73.9499660006,Brooklyn,03/30/2018 12:00:00 AM +0000,3,Brooklyn
Free,LinkNYC - Citybridge,40.764272570100005,-73.9159581002,Queens,06/26/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7498293203,-73.8841545299,Queens,11/08/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7202451596,-73.8446442995,Queens,03/09/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7200169996,-73.8447869999,Queens,03/09/2017 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.76970698,-73.9166731598,Queens,06/12/2018 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.8094122201,-73.9590295104,New York,09/28/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.817656,-73.95300700050001,New York,09/28/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8271962302,-73.94644065050001,New York,08/22/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8271950003,-73.9460430004,New York,08/10/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8303356351,-73.94375597300001,New York,08/08/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8322830002,-73.9423269996,New York,07/20/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8327310701,-73.9422657602,New York,07/21/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.8334469996,-73.9417399996,New York,07/21/2016 12:00:00 AM +0000,1,Manhattan
